,0,1
0,problem solving,5.094226579520697
1,machine learning,4.792048726467331
2,deep learning,4.311428571428571
3,excellent communication,4.0897198568431445
4,artificial intelligence,3.962539682539682
5,written communication,3.927148194271482
6,predictive modeling,3.75073470478226
7,statistical modeling,3.6529042507846707
8,large,2.3492063492063493
9,based,2.3401360544217686
10,program,2.328767123287671
11,learning,2.3114285714285714
12,service,2.3047619047619046
13,global,2.292929292929293
14,health,2.276923076923077
15,leading,2.1818181818181817
16,general,2.169491525423729
17,complex,2.1633986928104574
18,project,2.158974358974359
19,analytical,2.1447368421052633
20,scientific,2.140969162995595
21,high,2.135135135135135
22,strong,2.1320754716981134
23,performance,2.121495327102804
24,cloud,2.1184210526315788
25,excellent,2.1171171171171173
26,conduct,2.1166666666666667
27,medical,2.1079136690647484
28,analyses,2.0985915492957745
29,environment,2.0982142857142856
30,multiple,2.094017094017094
31,clinical,2.0638297872340425
32,goals,2.06
33,provide,2.0444444444444443
34,model,2.0128205128205128
35,deep,2.0
36,enterprise,2.0
37,studies,2.0
38,manufacturing,1.9775280898876404
39,protein,1.972972972972973
40,communication,1.9726027397260273
41,laboratory,1.9682539682539681
42,problems,1.962686567164179
43,concepts,1.96
44,written,1.9545454545454546
45,standards,1.9487179487179487
46,driven,1.945945945945946
47,approaches,1.9423076923076923
48,issues,1.9367088607594938
49,strategy,1.9333333333333333
50,capabilities,1.9322033898305084
51,marketing,1.9263157894736842
52,cell,1.921875
53,processing,1.9210526315789473
54,specific,1.9193548387096775
55,customer,1.9185185185185185
56,works,1.9166666666666667
57,financial,1.912280701754386
58,external,1.9101123595505618
59,modeling,1.9086294416243654
60,algorithms,1.908496732026144
61,basic,1.8958333333333333
62,database,1.8688524590163935
63,deliver,1.8625
64,non-,1.8591549295774648
65,impact,1.8571428571428572
66,platform,1.8548387096774193
67,teams,1.8506493506493507
68,predictive,1.8421052631578947
69,plans,1.8412698412698412
70,reports,1.8389830508474576
71,expert,1.830188679245283
72,building,1.8181818181818181
73,providing,1.8181818181818181
74,existing,1.8181818181818181
75,quantitative,1.8115942028985508
76,key,1.8111111111111111
77,management,1.8091872791519434
78,strategies,1.8064516129032258
79,programs,1.802325581395349
80,functions,1.7962962962962963
81,group,1.796116504854369
82,leader,1.7959183673469388
83,protocols,1.7954545454545454
84,communicate,1.7945205479452055
85,additional,1.793103448275862
86,presentations,1.7924528301886793
87,testing,1.7894736842105263
88,leadership,1.7804878048780488
89,develops,1.775
90,advanced,1.7674418604651163
91,focused,1.7608695652173914
92,innovative,1.7582417582417582
93,delivery,1.7551020408163265
94,statistical,1.7442748091603053
95,infrastructure,1.74
96,recommendations,1.7377049180327868
97,applied,1.7341772151898733
98,potential,1.7258064516129032
99,plan,1.72
100,ms,1.7142857142857142
101,experimental,1.710144927536232
102,expression,1.6956521739130435
103,basis,1.6923076923076923
104,operations,1.691358024691358
105,challenges,1.6888888888888889
106,community,1.6888888888888889
107,intelligence,1.6825396825396826
108,questions,1.6666666666666667
109,current,1.6666666666666667
110,applicant,1.6666666666666667
111,professional,1.6623376623376624
112,documents,1.6578947368421053
113,experiments,1.6545454545454545
114,decisions,1.65
115,writing,1.6428571428571428
116,analyzing,1.6388888888888888
117,senior,1.631578947368421
118,dna,1.6206896551724137
119,requires,1.619047619047619
120,demonstrated,1.5977011494252873
121,consumer,1.5952380952380953
122,report,1.5945945945945945
123,implement,1.5909090909090908
124,bioinformatics,1.588235294117647
125,essential,1.575
126,sas,1.5633802816901408
127,full-,1.56
128,optimization,1.5584415584415585
129,validation,1.558139534883721
130,success,1.5555555555555556
131,platforms,1.5517241379310345
132,desired,1.55
133,methodologies,1.5476190476190477
134,real-,1.546875
135,staff,1.5454545454545454
136,applying,1.5405405405405406
137,description,1.5384615384615385
138,relevant,1.5299145299145298
139,architecture,1.525
140,primary,1.5238095238095237
141,applicable,1.5227272727272727
142,excel,1.5135135135135136
143,sql,1.5118110236220472
144,improvement,1.5
145,division,1.5
146,discipline,1.4923076923076923
147,focus,1.4871794871794872
148,veterans,1.4864864864864864
149,independently,1.484375
150,packages,1.4827586206896552
151,sources,1.4696969696969697
152,insurance,1.4634146341463414
153,specialized,1.4634146341463414
154,engineer,1.45
155,hadoop,1.4464285714285714
156,assessment,1.4285714285714286
157,member,1.4285714285714286
158,measurement,1.4230769230769231
159,physical,1.4186046511627908
160,address,1.4137931034482758
161,summary,1.411764705882353
162,location,1.4107142857142858
163,mining,1.4098360655737705
164,mathematics,1.4050632911392404
165,closely,1.3958333333333333
166,proficient,1.3928571428571428
167,partners,1.3877551020408163
168,values,1.3823529411764706
169,sets,1.3766233766233766
170,learn,1.3384615384615384
171,unstructured,1.3333333333333333
172,publications,1.3333333333333333
173,familiarity,1.3243243243243243
174,visit,1.3225806451612903
175,big,1.316831683168317
176,place,1.2857142857142858
177,segmentation,1.25
178,hive,1.25
179,businesses,1.25
180,authorized,1.2424242424242424
181,creativity,1.2413793103448276
182,contribute,1.2407407407407407
183,phd,1.2333333333333334
184,spark,1.2307692307692308
185,biotechnology,1.2307692307692308
186,masters,1.2045454545454546
187,collection,1.2
188,passionate,1.1923076923076923
189,finance,1.1923076923076923
190,java,1.1875
191,interpretation,1.1818181818181819
192,topics,1.1818181818181819
193,expected,1.1764705882352942
194,considered,1.1724137931034482
195,york,1.1724137931034482
196,statistics,1.1710526315789473
197,visualization,1.169811320754717
198,challenge,1.1666666666666667
199,consumers,1.1304347826086956
200,tableau,1.1142857142857143
201,python,1.1063829787234043
202,today,1.105263157894737
203,hands-,1.0930232558139534
204,economics,1.0714285714285714
205,bachelor,1.0508474576271187
206,scala,1.0434782608695652
207,matlab,1.0
208,marital,1.0
209,/,0.0
210,&,0.0
211,•,0.0
212,2,0.0
213,4,0.0
214,5,0.0
215,000,0.0
216,++,0.0
217,#,0.0
218,//,0.0
219,*,0.0
220,+,0.0
221,**,0.0
222,·,0.0
